Question Number,Title,time (seconds),Text response?,Answer option list or regex (case insensitive),"If MCQ, which zero-indexed answer choice is correct?",question text (may be multi lined),Solution
20,Spoons V,60,,"- Yes
- No, Mutual Exclusion
- No, Hold and Wait
- No, No Preemption
- No, Circular Wait",2,"In the game of spoons, a player wins if they are holding 2 cards of the same number, and in each set of cards, there are only 2 cards of each number. There are at least as many card numbers as there are players in the game.

- Turns are unordered and untimed: players take a ""turn"" whenever they want to, and multiple turns can be taken at once. Assume that players will always take a turn if they are able to, but players may take different amounts of time to take a single turn.
- Each person starts with 1 card.
- A turn consists of draining some number of cards, and discarding some number of cards. By default, a player draws 1 card, bringing their hand to 2 cards, and if not winning immediately, discarding one of the 2 cards.
- A discarded card can be drawn by another player
- When a player ""wins"", they immediately stop playing, but other players may continue to play until they win
- Assume that players will follow a collective strategy, and will not deviate from it under any circumstances

By default, when a player draws a new card, they compare it to their existing card, and if it doesn't match, discard the card they just drew.

NEW STRATEGY: When a player draws a new card, they compare it to their existing card, and if it doesn't match, discard the card they were holding and keep the drawn card.

QUESTION: Is it possible for the game to deadlock? If not, what condition of deadlock is not satisfied?",
21,Spoons X,60,,"- Yes
- No, Mutual Exclusion
- No, Hold and Wait
- No, No Preemption
- No, Circular Wait",1,"In the game of spoons, a player wins if they are holding 2 cards of the same number, and in each set of cards, there are only 2 cards of each number. There are at least as many card numbers as there are players in the game.

- Turns are unordered and untimed: players take a ""turn"" whenever they want to, and multiple turns can be taken at once. Assume that players will always take a turn if they are able to, but players may take different amounts of time to take a single turn.
- Each person starts with 1 card.
- A turn consists of draining some number of cards, and discarding some number of cards. By default, a player draws 1 card, bringing their hand to 2 cards, and if not winning immediately, discarding one of the 2 cards.
- A discarded card can be drawn by another player
- When a player ""wins"", they immediately stop playing, but other players may continue to play until they win
- Assume that players will follow a collective strategy, and will not deviate from it under any circumstances

By default, when a player draws a new card, they compare it to their existing card, and if it doesn't match, discard the card they just drew.

NEW STRATEGY: Instead of discarding a card, the player instead rips the card (or whatever is left of the card) in half, keeping half for themselves and discarding the other half. Each piece is considered the same as the full card itself when considering winning.

QUESTION: Is it possible for the game to deadlock? If not, what condition of deadlock is not satisfied?",
22,Exceptional Behavior,40,No,"- Abort
- Interrupt
- Trap
- Fault
- No exception would occur",3,"Suppose a program, program.c, has code which dereferences a null pointer. What kind of exception would arise from running program.c?","Answer: Fault, this would result in a segmentation fault. While it can be argued that this could result in an abort, as it is unrecoverable, it is important to note that the act of pausing hte program to attempt to retrieve the data at the address of the nullptr is a fault in of itself. Thus, a segmentation fault is a fault which leads into an abort."
23,Exceptional Behavior II,30,No,"- Abort
- Interrupt
- Trap
- Fault
- No exception would occur",0,"Suppose a solar ray hit our computer while it was running, changing a few bits in memory. Our error detecting (but not correcting) memory detected this for us, and stopped the program. What kind of exception is this?","Abort: an error in memory that can't be corrected is unrecoverable, so this would be an abort, assuming the operating system is still able to run"
24,Caching the VM,40,Yes,TLB,,What is the uppercase 3-letter acronym for the item that caches recently accessed entries of the page table?,
25,Memory I,30,No,"- Stack
- Heap
- Text segment
- Data segment",0,Which section of memory is referenced when using push or pop?,
26,Memory II,30,No,"- Stack
- Heap
- Text segment
- Data segment",2,Which section of memory holds the actual bytecode/assembly and shared libraries?,
27,Memory III,30,No,"- Stack
- Heap
- Text segment
- Data segment",3,Which section of memory holds statically allocated data?,
28,Memory IV,30,No,"- Stack
- Heap
- Text segment
- Data segment",1,Which section of memory is used for dynamically allocated memory?,
29,(C|R)ISCy,30,No,"- RISC
- CISC",1,"Which type of architecture is most likely to have an instruction ""decryptAESMsg"" that takes in 2 registers as inputs, holding the decryption key and encrypted data to decrypt?",
30,C vs R,40,No,"- Instruction encodings are simplified
- Larger program file size due to more instructions
- More complex hardware design
- More power efficient",2,"In general (feel free to think x86 vs MIPS), which of the following is NOT a result of using RISC over CISC?",
31,Linking,30,No,"- Static LInking
- Dynamic Linking
- Lazy Linking
- Combined Linking",0,Which kind of linking constructs a program's object files together at compile time?,
32,Tiled floors,120,Yes,((i\+TSIZE)|(TSIZE\+i));((j\+TSIZE)|(TSIZE\+j)),,"This code is missing some text. Fill in the blanks, separating your answers with a semicolon and no spaces (like x*y;i*j):

void tilePrint(int n, int TSIZE, int arr[n][n])
{

    // Assume n is a multiple of TSIZE

    int i;
    int j;
    int x;
    int y;
    for (i = 0; i < n; i += TSIZE)
        for (j = 0; j < n; j += TSIZE)
            for (x = i; x < ___FIRST BLANK___; x++)
                for (y = j; y < ___SECOND BLANK___; y++)
                    printf(""The value at (%d, %d) is %d\n"", x, y, arr[x][y]);
}",
33,My code is slow!,40,No,"- Race conditions
- False sharing
- Serialized threads
- Unoptimized load balancing
- Operating system interference",2,"A student was working on a modified phase 1 of the parallel lab, trying to count the number of black pixels (all channel values are 0). This is their code:
#pragma omp parallel for shared(count)
for (int i = 0; i < size; i++)
  if (arr[i] == 0)
    #pragma omp critical
    count += 1;

When running the code, it barely performs better than without the parallelism, even with a large number of threads. Which of the following is most likely the largest contributing reason to the slow performance?",
34,VM,50,Yes,0x0?78a5b,,"Using the below table, translate 0x003a5b into a physical address, assuming that virtual addresses are 32 bits, physical addresses are 20 bits, and pages are 4KB. Answer in hexadecimal, like 0x1234, and if the memory address is invalid, submit ""invalid"".

Hint: the first row of the table corresponds with the 0th page, the second row the 1st page, etc.

| Valid | VPO  |
|-------|------|
| 1     | 0x12 |
| 1     | 0x34 |
| 0     | 0x56 |
| 1     | 0x78 |
| 1     | 0x99 |
| 0     | 0xaa |","Since pages are 4KB = 2^12 bits, we know that we have 12 bits in the virtual address for the page offset, and the rest is the virtual page number. 12 bits = 3 hex characters (or you can convert to binary), so we keep the last 3 hex characters and use the table to translate the VPN to VPO."
35,My stock! My float!,300,Yes,-44\.5,,"Using the 32-bit float floating point number standard, convert 0xC2320000 into a decimal. When answering, leave off unnessesary zeros, like 12.34. You can also submit ""NaN"" if the result is not a number, or ""inf"" for infinity.

Hint: there are 8 bits for the exponent in a 32-bit floating point number.",
36,Sailing the special seas,300,Yes,NaN,,"Using the 32-bit float floating point number standard, convert 0xFFF00001 into a decimal. When answering, leave off unnessesary zeros, like 12.34. You can also submit ""NaN"" if the result is not a number, or ""inf"" for infinity.",
37,Wombo Combo,60,Yes,32;8,,"How much space in RAM does this struct take up, and what is its byte alignment? Answer with 2 numbers, separated by a semicolon like ""20;4""

struct myStruct
{
    short i;
    char c;
    union
    {
        int one;
        long two;
    } u;
    char s[10];
};
","Overall storage using the characters of each item as one byte:

iic_____
uuuuuuuu
ssssssss
ss______

The largest required alignment primitive in the struct is the long inside the union, therefore, the overall required alignment is 8."
38,Wombo Combo II,300,Yes,0x9664088b,,"What is the value of a[3].u.one? Use the following memory dump and struct to locate the value. Input your answer in hexadecimal, like 0x1234. This is using the same struct from the previous question (hint: the struct is 32 bytes large). In order to save screen real estate and trees, you've recorded the gdb output on a google doc, available at https://tinyurl.com/wombo-combo-gdb.

struct myStruct
{
    short i;
    char c;
    union
    {
        int one;
        long two;
    } u;
    char s[10];
};

struct myStruct a[5];",
39,MIPS I,120,Yes,"addiu? \$t1, ?\$t0, ?(100|0x64)",,"Write an equivalent MIPS instruction for: leaq 100(%eax), %edx. Use $t0 for %eax, and $t1 for %edx. Your result should look like `instr $r1, $r2, val` or similar",
40,No leaq?,60,Yes,21,,"What value (in decimal) is stored in %rdi after this x86_64 instruction is run?

Assume %rax = 2, %rbx = 3

leaq 10(%rax, %rbx, 3), %rdi",
41,Link my heart together,1200,Yes,31,,"You have infiltrated the secret base of SEASnet, and now have access to their secret password generating script! You ran the file, making detailed notes of what was going on using gdb, but right before the password was printed, the power cut off! Can you reconstruct what the program was doing, and get the final return value of the getVal function (in decimal)?

In order to save screen real estate and trees, you've recorded the commands on a google doc, available at https://tinyurl.com/gdb-dump ",
